Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa*/players/a/achiupr01.html,C,22,TOR,21,17,556,71,184,.386,7,26,.269,64,158,.405,.405,19,35,.543,49,124,173,33,11,12,23,53,168
2,Steven Adams*/players/a/adamsst01.html,C,28,MEM,26,26,652,66,127,.520,0,0,None,66,127,.520,.520,50,82,.610,102,125,227,70,22,18,45,44,182
3,Bam Adebayo*/players/a/adebaba01.html,C,24,MIA,18,18,592,126,243,.519,0,1,.000,126,242,.521,.519,85,112,.759,49,134,183,57,20,6,53,59,337
4,Santi Aldama*/players/a/aldamsa01.html,PF,21,MEM,14,0,145,22,63,.349,3,27,.111,19,36,.528,.373,6,10,.600,15,25,40,12,2,3,4,14,53
5,LaMarcus Aldridge*/players/a/aldrila01.html,C,36,BRK,24,7,565,145,252,.575,10,29,.345,135,223,.605,.595,34,42,.810,33,104,137,22,10,28,15,38,334
6,Nickeil Alexander-Walker*/players/a/alexani01.html,SG,23,NOP,28,18,794,142,387,.367,57,187,.305,85,200,.425,.441,40,52,.769,29,81,110,76,27,11,40,50,381
7,Grayson Allen*/players/a/allengr01.html,SG,26,MIL,26,26,745,116,261,.444,78,188,.415,38,73,.521,.594,29,34,.853,13,82,95,33,17,8,17,38,339
8,Jarrett Allen*/players/a/allenja01.html,C,23,CLE,24,24,795,171,241,.710,1,5,.200,170,236,.720,.712,71,103,.689,77,192,269,45,22,31,49,45,414
9,Jose Alvarado*/players/a/alvarjo01.html,PG,23,NOP,8,0,41,5,13,.385,2,5,.400,3,8,.375,.462,2,3,.667,2,3,5,9,4,0,1,3,14
10,Kyle Anderson*/players/a/anderky01.html,PF,28,MEM,22,2,470,69,161,.429,19,52,.365,50,109,.459,.488,15,19,.789,23,91,114,54,18,12,20,31,172
11,Giannis Antetokounmpo*/players/a/antetgi01.html,PF,27,MIL,24,24,783,234,438,.534,28,95,.295,206,343,.601,.566,167,247,.676,49,234,283,137,27,40,79,73,663
12,Thanasis Antetokounmpo*/players/a/antetth01.html,SF,29,MIL,20,5,257,30,62,.484,0,6,.000,30,56,.536,.484,10,17,.588,21,42,63,15,10,4,13,35,70
13,Carmelo Anthony*/players/a/anthoca01.html,PF,37,LAL,27,3,751,123,285,.432,65,160,.406,58,125,.464,.546,55,68,.809,23,88,111,24,20,15,23,65,366
14,Cole Anthony*/players/a/anthoco01.html,PG,21,ORL,20,20,681,142,331,.429,55,151,.364,87,180,.483,.512,67,77,.870,10,113,123,117,19,4,60,51,406
15,OG Anunoby*/players/a/anunoog01.html,SF,24,TOR,15,15,560,114,265,.430,41,112,.366,73,153,.477,.508,33,40,.825,24,57,81,41,23,9,25,41,302
16,D.J. Augustin*/players/a/augusdj01.html,PG,34,HOU,21,0,277,28,66,.424,19,46,.413,9,20,.450,.568,16,18,.889,3,20,23,52,5,0,26,13,91
17,Deni Avdija*/players/a/avdijde01.html,SF,21,WAS,26,0,554,60,141,.426,21,66,.318,39,75,.520,.500,21,32,.656,22,104,126,31,14,19,14,56,162
18,Joel Ayayi*/players/a/ayayijo01.html,SG,21,WAS,4,0,10,0,0,None,0,0,None,0,0,None,None,0,0,None,0,2,2,2,0,0,0,0,0
19,Deandre Ayton*/players/a/aytonde01.html,C,23,PHO,18,18,556,132,215,.614,1,5,.200,131,210,.624,.616,29,47,.617,54,145,199,27,14,13,32,42,294
20,Udoka Azubuike*/players/a/azubuud01.html,C,22,UTA,4,0,8,1,1,1.000,0,0,None,1,1,1.000,1.000,0,0,None,1,3,4,0,0,0,1,0,2
21,Marvin Bagley III*/players/b/baglema01.html,PF,22,SAC,11,0,207,33,64,.516,7,21,.333,26,43,.605,.570,13,18,.722,22,47,69,8,2,2,7,12,86
22,LaMelo Ball*/players/b/ballla01.html,PG,20,CHO,24,24,799,174,416,.418,70,179,.391,104,237,.439,.502,63,70,.900,37,148,185,198,46,10,78,75,481
23,Lonzo Ball*/players/b/balllo01.html,PG,24,CHI,26,26,918,120,288,.417,79,185,.427,41,103,.398,.554,11,14,.786,26,117,143,130,45,26,63,62,330
24,Mo Bamba*/players/b/bambamo01.html,C,23,ORL,25,25,732,107,232,.461,34,101,.337,73,131,.557,.534,18,25,.720,59,162,221,45,20,56,36,68,266
25,Desmond Bane*/players/b/banede01.html,SF,23,MEM,26,26,755,162,347,.467,68,169,.402,94,178,.528,.565,32,35,.914,14,97,111,54,25,11,40,63,424
26,Dalano Banton*/players/b/bantoda01.html,SF,22,TOR,26,0,333,42,93,.452,6,20,.300,36,73,.493,.484,18,24,.750,17,44,61,42,11,5,27,37,108
27,Harrison Barnes*/players/b/barneha02.html,PF,29,SAC,21,21,721,117,250,.468,41,102,.402,76,148,.514,.550,110,130,.846,29,117,146,49,20,3,41,30,385
28,Scottie Barnes*/players/b/barnesc01.html,PF,20,TOR,24,24,864,149,305,.489,17,50,.340,132,255,.518,.516,47,65,.723,70,130,200,79,29,21,47,66,362
29,RJ Barrett*/players/b/barrerj01.html,SF,21,NYK,25,25,784,134,333,.402,47,133,.353,87,200,.435,.473,63,86,.733,20,121,141,52,11,7,42,51,378
30,Will Barton*/players/b/bartowi01.html,SG,31,DEN,23,23,777,146,328,.445,60,153,.392,86,175,.491,.537,24,33,.727,14,103,117,97,21,10,42,32,376
31,Charles Bassey*/players/b/bassech01.html,PF,21,PHI,11,0,86,14,20,.700,0,3,.000,14,17,.824,.700,5,7,.714,10,19,29,2,2,8,4,11,33
32,Keita Bates-Diop*/players/b/bateske01.html,SF,26,SAS,18,5,267,27,61,.443,2,13,.154,25,48,.521,.459,9,13,.692,15,50,65,8,9,6,14,13,65
33,Nicolas Batum*/players/b/batumni01.html,PF,33,LAC,15,14,400,50,97,.515,32,74,.432,18,23,.783,.680,5,10,.500,7,71,78,22,17,12,12,17,137
34,Kent Bazemore*/players/b/bazemke01.html,SF,32,LAL,19,13,354,28,84,.333,14,44,.318,14,40,.350,.417,10,13,.769,6,31,37,15,16,5,8,42,80
35,Darius Bazley*/players/b/bazleda01.html,PF,21,OKC,25,25,686,83,221,.376,24,88,.273,59,133,.444,.430,28,44,.636,23,139,162,33,23,28,35,21,218
36,Bradley Beal*/players/b/bealbr01.html,SG,28,WAS,23,23,828,198,449,.441,34,130,.262,164,319,.514,.479,89,105,.848,22,87,109,132,20,7,78,50,519
37,Malik Beasley*/players/b/beaslma01.html,SG,25,MIN,26,0,671,104,288,.361,72,211,.341,32,77,.416,.486,16,22,.727,10,73,83,41,15,4,18,33,296
38,DeAndre' Bembry*/players/b/bembrde01.html,SF,27,BRK,25,10,492,61,108,.565,9,22,.409,52,86,.605,.606,10,21,.476,19,62,81,27,22,13,18,59,141
39,Dāvis Bertāns*/players/b/bertada01.html,PF,29,WAS,16,0,244,24,81,.296,17,65,.262,7,16,.438,.401,17,18,.944,3,22,25,9,4,2,7,27,82
40,Patrick Beverley*/players/b/beverpa01.html,PG,33,MIN,18,14,457,59,125,.472,20,62,.323,39,63,.619,.552,14,20,.700,25,50,75,81,15,16,21,52,152
41,Saddiq Bey*/players/b/beysa01.html,SF,22,DET,25,25,798,111,319,.348,47,154,.305,64,165,.388,.422,36,49,.735,46,103,149,60,26,4,34,42,305
42,Khem Birch*/players/b/birchkh01.html,C,29,TOR,15,3,344,40,80,.500,0,6,.000,40,74,.541,.500,24,33,.727,48,37,85,20,15,7,9,27,104
43,Goga Bitadze*/players/b/bitadgo01.html,C,22,IND,17,0,142,15,50,.300,4,25,.160,11,25,.440,.340,11,17,.647,18,22,40,3,9,10,6,27,45
44,Nemanja Bjelica*/players/b/bjeline01.html,C,33,GSW,25,0,360,60,130,.462,22,61,.361,38,69,.551,.546,22,31,.710,23,76,99,39,19,9,31,34,164
45,Eric Bledsoe*/players/b/bledser01.html,PG,32,LAC,26,22,685,87,213,.408,20,75,.267,67,138,.486,.455,43,52,.827,19,83,102,90,35,11,52,41,237
