Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,20,TOR,NBA,C,62,57,23.9,3.3,5.9,.557,0.0,0.0,None,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,6.0,0.7,0.3,1.3,1.5,3.0,8.9
2013-14,21,TOR,NBA,C,81,81,28.2,4.4,8.3,.531,0.0,0.0,.000,4.4,8.3,.532,.531,2.4,3.2,.762,2.8,6.0,8.8,0.7,0.3,0.9,1.7,3.1,11.3
2014-15,22,TOR,NBA,C,80,80,26.2,4.7,8.2,.572,0.0,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,8.7,0.5,0.4,1.2,1.4,2.8,12.0
2015-16,23,TOR,NBA,C,60,59,26.0,5.1,8.9,.565,0.0,0.0,None,5.1,8.9,.565,.565,2.7,3.6,.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
2016-17,24,TOR,NBA,C,80,80,25.8,4.9,8.8,.557,0.0,0.0,.500,4.9,8.8,.557,.558,2.2,2.7,.811,2.8,6.7,9.5,0.7,0.5,0.8,1.3,2.7,12.0
2017-18,25,TOR,NBA,C,77,77,22.4,5.1,8.9,.568,0.4,1.0,.405,4.7,8.0,.587,.590,2.2,2.7,.806,2.4,6.2,8.6,1.1,0.4,0.9,1.5,2.5,12.7
2018-19,26,TOT,NBA,C,49,27,22.3,6.1,11.0,.559,0.3,1.0,.292,5.9,10.0,.586,.572,3.0,3.8,.795,2.2,6.4,8.6,1.4,0.4,1.1,1.8,3.0,15.6
2018-19,26,TOR,NBA,C,30,10,18.8,5.0,8.6,.575,0.3,1.0,.300,4.7,7.6,.611,.593,2.6,3.1,.819,1.8,5.4,7.2,1.0,0.4,0.8,1.3,2.7,12.8
2018-19,26,MEM,NBA,C,19,17,27.7,8.0,14.7,.545,0.3,0.9,.278,7.7,13.7,.563,.554,3.7,4.8,.769,2.7,7.9,10.7,2.2,0.3,1.6,2.7,3.4,19.9
2019-20,27,MEM,NBA,C,70,70,26.4,6.2,10.6,.585,0.5,1.3,.352,5.7,9.3,.617,.606,2.1,2.9,.740,3.0,8.2,11.3,1.9,0.4,1.1,1.8,2.6,14.9
2020-21,28,MEM,NBA,C,62,61,28.3,7.1,12.0,.592,0.3,0.9,.368,6.8,11.1,.611,.606,2.5,3.3,.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,2.9,17.1
2021-22,29,NOP,NBA,C,28,28,31.2,7.2,14.0,.517,1.1,2.4,.463,6.1,11.6,.528,.556,3.3,4.0,.820,3.4,8.5,11.9,2.5,0.6,0.9,2.1,3.2,18.8
