Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,20,DEN,NBA,SG,55,6,13.1,1.2,3.9,.304,0.4,1.9,.204,0.8,2.1,.395,.353,0.6,0.9,.745,0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4
2015-16,21,DEN,NBA,SG,76,76,32.1,4.7,10.1,.469,1.4,3.9,.354,3.3,6.2,.543,.538,1.4,1.8,.820,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
2016-17,22,DEN,NBA,SG,57,56,31.3,5.6,11.2,.502,1.9,4.5,.420,3.7,6.7,.558,.586,1.8,2.4,.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9
2017-18,23,DEN,NBA,SG,67,65,34.4,6.6,13.6,.485,2.3,5.9,.396,4.2,7.7,.553,.570,2.0,2.4,.827,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8,17.5
2018-19,24,DEN,NBA,SG,57,48,28.8,4.7,11.2,.424,1.4,4.2,.339,3.3,6.9,.476,.488,2.0,2.5,.799,0.7,2.1,2.8,2.2,1.0,0.3,1.2,2.0,12.9
2019-20,25,DEN,NBA,SG,56,55,31.8,3.9,9.3,.420,1.3,3.8,.333,2.6,5.5,.479,.487,1.3,1.6,.815,0.5,2.4,2.9,2.1,1.4,0.3,1.1,2.1,10.4
2020-21,26,TOT,NBA,SG,39,38,27.7,3.5,8.8,.400,1.2,3.6,.340,2.3,5.2,.441,.470,1.6,2.0,.821,0.5,1.5,2.0,2.0,0.7,0.3,0.9,1.8,9.9
2020-21,26,DEN,NBA,SG,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
2020-21,26,ORL,NBA,SG,20,19,25.0,3.5,9.5,.365,1.2,3.3,.364,2.3,6.2,.366,.429,2.1,2.4,.875,0.4,1.2,1.6,2.3,0.6,0.4,1.2,1.7,10.2
2021-22,27,ORL,NBA,SG,20,10,25.6,3.2,7.6,.424,1.0,3.5,.286,2.2,4.1,.543,.490,0.6,0.8,.733,0.8,1.4,2.2,1.7,0.7,0.1,1.1,1.9,8.0
