Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,23,TOT,NBA,PG,2,0,6.5,0.5,1.5,.333,0.5,0.5,1.000,0.0,1.0,.000,.500,0.0,0.0,None,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.5
2013-14,23,MEM,NBA,PG,1,0,4.0,0.0,0.0,None,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,23,CLE,NBA,PG,1,0,9.0,1.0,3.0,.333,1.0,1.0,1.000,0.0,2.0,.000,.500,0.0,0.0,None,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
2014-15,24,PHO,NBA,PG,2,0,4.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.0,0.0,None,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0
2015-16,25,SAC,NBA,PG,44,9,15.7,2.3,5.1,.455,1.1,2.5,.450,1.2,2.6,.460,.567,1.0,1.2,.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8
2016-17,26,DAL,NBA,PG,70,42,29.0,4.8,10.0,.481,2.0,4.6,.425,2.9,5.4,.528,.578,1.2,1.4,.850,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8
2018-19,28,POR,NBA,SG,74,2,18.9,2.9,6.3,.456,1.5,3.4,.450,1.3,2.9,.463,.577,0.6,0.7,.846,0.4,1.3,1.6,0.9,0.5,0.2,0.8,1.3,7.9
2019-20,29,DAL,NBA,SG,64,25,24.6,4.4,9.0,.495,2.3,5.0,.452,2.2,4.0,.549,.621,1.3,1.5,.825,0.4,1.8,2.3,1.9,0.6,0.1,1.0,1.8,12.4
2020-21,30,PHI,NBA,SG,57,57,28.7,4.5,9.7,.467,2.2,4.9,.450,2.3,4.8,.485,.582,1.2,1.4,.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5
2021-22,31,PHI,NBA,SG,24,24,34.3,6.0,11.7,.509,2.2,5.4,.408,3.8,6.3,.596,.603,2.1,2.4,.879,0.5,2.4,2.9,2.9,0.8,0.1,1.7,2.4,16.3
