Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,21,OKC,NBA,PG,57,1,12.2,2.0,4.9,.410,0.6,1.9,.324,1.4,2.9,.467,.475,0.3,0.4,.792,0.2,1.3,1.5,1.9,0.6,0.1,0.8,1.4,5.0
2016-17,22,TOT,NBA,PG,31,0,14.9,2.1,6.2,.332,0.9,2.8,.314,1.2,3.5,.346,.402,0.2,0.3,.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2
2016-17,22,OKC,NBA,PG,20,0,16.0,2.2,6.5,.331,0.8,2.6,.308,1.4,3.9,.346,.392,0.2,0.2,1.000,0.1,1.5,1.6,2.0,0.5,0.2,0.8,1.9,5.3
2016-17,22,CHI,NBA,PG,11,0,12.9,1.9,5.7,.333,1.0,3.1,.324,0.9,2.6,.345,.421,0.1,0.4,.250,0.1,1.5,1.5,1.4,0.4,0.0,1.2,1.3,4.9
2017-18,23,CHI,NBA,PG,25,14,23.3,3.5,8.6,.405,1.4,3.6,.385,2.1,5.0,.419,.486,0.5,0.6,.750,0.7,2.0,2.8,4.5,1.0,0.4,1.4,1.8,8.8
2018-19,24,TOT,NBA,PG,40,13,17.8,2.4,5.6,.430,0.6,2.1,.298,1.8,3.5,.511,.487,0.8,1.0,.805,0.3,1.5,1.8,2.7,0.7,0.2,1.1,1.6,6.3
2018-19,24,CHI,NBA,PG,31,12,17.3,2.2,5.4,.411,0.5,1.9,.271,1.7,3.5,.486,.458,0.7,0.8,.880,0.3,1.4,1.7,2.7,0.6,0.2,1.1,1.6,5.7
2018-19,24,CLE,NBA,PG,9,1,19.6,3.0,6.1,.491,1.0,2.8,.360,2.0,3.3,.600,.573,1.2,1.8,.688,0.3,1.8,2.1,2.6,0.9,0.3,1.2,1.7,8.2
2019-20,25,PHO,NBA,SG,8,0,22.9,4.1,8.5,.485,1.9,3.6,.517,2.3,4.9,.462,.596,0.8,0.9,.857,0.5,3.4,3.9,3.0,1.0,0.3,1.4,2.5,10.9
2020-21,26,PHO,NBA,PG,60,1,18.0,3.2,6.6,.484,1.2,2.8,.440,2.0,3.8,.515,.576,0.8,0.9,.893,0.3,2.1,2.4,3.6,0.6,0.3,1.0,1.6,8.4
2021-22,27,PHO,NBA,PG,20,0,18.4,3.6,9.4,.385,1.1,3.5,.314,2.5,5.9,.427,.444,1.8,2.1,.833,0.4,2.5,2.9,3.1,0.6,0.3,1.8,1.8,10.1
