Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,19,ORL,NBA,SF,76,59,26.0,3.4,7.4,.461,0.4,1.5,.274,3.0,5.9,.510,.489,1.0,1.7,.570,1.6,2.8,4.4,0.7,1.2,0.8,0.9,1.9,8.2
2013-14,20,ORL,NBA,SF,80,41,24.4,2.8,6.0,.464,0.7,1.9,.383,2.1,4.1,.502,.525,1.1,1.8,.594,0.9,2.4,3.3,1.0,1.2,0.6,1.1,1.8,7.4
2014-15,21,ORL,NBA,SF,45,4,15.0,1.4,3.5,.399,0.2,1.2,.179,1.2,2.3,.520,.430,0.5,0.9,.537,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5
2015-16,22,POR,NBA,SF,78,14,18.7,2.5,5.3,.474,0.5,1.8,.279,2.0,3.5,.576,.522,0.9,1.4,.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4
2016-17,23,POR,NBA,SF,77,69,28.9,4.1,8.1,.503,0.9,2.5,.351,3.2,5.6,.572,.558,1.0,1.6,.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0
2017-18,24,POR,NBA,SF,59,36,21.4,2.5,5.0,.495,0.8,2.0,.415,1.7,3.0,.547,.577,0.7,1.0,.712,0.8,2.0,2.7,0.9,0.8,0.7,0.7,1.7,6.5
2018-19,25,POR,NBA,SF,60,53,23.6,3.2,6.5,.487,0.6,2.0,.275,2.6,4.5,.582,.530,0.8,1.2,.671,1.3,3.2,4.5,1.2,1.1,0.9,0.8,2.7,7.7
2019-20,26,TOT,NBA,PF/SF,62,48,23.0,2.3,4.6,.502,0.5,1.6,.347,1.7,3.0,.584,.562,0.6,1.1,.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8
2019-20,26,LAC,NBA,PF,50,38,22.8,2.2,4.3,.516,0.5,1.5,.370,1.7,2.9,.590,.578,0.5,0.8,.571,0.9,3.1,4.0,1.0,1.0,0.6,0.9,2.4,5.5
2019-20,26,NYK,NBA,SF,12,10,23.8,2.5,5.5,.455,0.6,2.1,.280,1.9,3.4,.561,.508,1.3,2.0,.625,0.7,2.7,3.3,1.7,0.8,0.3,0.6,2.3,6.8
2020-21,27,TOT,NBA,PF/SF,37,23,20.9,1.9,4.5,.418,0.6,2.3,.274,1.2,2.2,.568,.488,0.9,1.2,.767,0.4,2.1,2.4,1.2,0.8,0.5,0.6,2.3,5.2
2020-21,27,MIA,NBA,SF,11,3,11.3,0.5,1.2,.385,0.5,1.0,.455,0.0,0.2,.000,.577,0.0,0.2,.000,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4
2020-21,27,SAC,NBA,PF,26,20,24.9,2.5,5.8,.421,0.7,2.8,.247,1.8,3.0,.582,.480,1.3,1.6,.805,0.4,2.5,2.9,1.4,1.1,0.6,0.7,2.8,6.9
2021-22,28,SAC,NBA,SF,17,14,19.5,1.5,3.8,.385,0.5,2.4,.225,0.9,1.5,.640,.454,0.5,0.6,.727,0.2,2.5,2.6,0.5,0.5,0.5,0.4,1.5,3.9
