id,timeAndLoc,beat,scored
1, Oct 21, ATL (1-0) beat DAL, 113-87
2, Oct 23 @ CLE, ATL (1-1) lost to CLE, 95-101
3, Oct 25, ATL (2-1) beat DET, 122-104
4, Oct 27 @ NOP, ATL (3-1) beat NOP, 102-99
5, Oct 28 @ WAS, ATL (3-2) lost to WAS, 111-122
6, Oct 30 @ PHI, ATL (3-3) lost to PHI, 94-122
7, Nov 1, ATL (4-3) beat WAS, 118-111
8, Nov 3 @ BRK, ATL (4-4) lost to BRK, 108-117
9, Nov 4, ATL (4-5) lost to UTA, 98-116
10, Nov 6 @ PHO, ATL (4-6) lost to PHO, 117-121
11, Nov 8 @ GSW, ATL (4-7) lost to GSW, 113-127
12, Nov 9 @ UTA, ATL (4-8) lost to UTA, 98-110
13, Nov 12 @ DEN, ATL (4-9) lost to DEN, 96-105
14, Nov 14, ATL (5-9) beat MIL, 120-100
15, Nov 15, ATL (6-9) beat ORL, 129-111
16, Nov 17, ATL (7-9) beat BOS, 110-99
17, Nov 20, ATL (8-9) beat CHO, 115-105
18, Nov 22, ATL (9-9) beat OKC, 113-101
19, Nov 24 @ SAS, ATL (10-9) beat SAS, 124-106
20, Nov 26 @ MEM, ATL (11-9) beat MEM, 132-100
21, Nov 27, ATL (11-10) lost to NYK, 90-99
22, Dec 1 @ IND, ATL (12-10) beat IND, 114-111
23, Dec 3, ATL (12-11) lost to PHI, 96-98
24, Dec 5, ATL (12-12) lost to CHO, 127-130
25, Dec 6 @ MIN, ATL (13-12) beat MIN, 121-110
26, Dec 10, ATL (13-13) lost to BRK, 105-113
