id,timeAndLoc,beat,scored
1, Oct 20 @ NYK, BOS (0-1) lost to NYK, 134-138
2, Oct 22, BOS (0-2) lost to TOR, 83-115
3, Oct 24 @ HOU, BOS (1-2) beat HOU, 107-97
4, Oct 25 @ CHO, BOS (2-2) beat CHO, 140-129
5, Oct 27, BOS (2-3) lost to WAS, 107-116
6, Oct 30 @ WAS, BOS (2-4) lost to WAS, 112-115
7, Nov 1, BOS (2-5) lost to CHI, 114-128
8, Nov 3 @ ORL, BOS (3-5) beat ORL, 92-79
9, Nov 4 @ MIA, BOS (4-5) beat MIA, 95-78
10, Nov 6 @ DAL, BOS (4-6) lost to DAL, 104-107
11, Nov 10, BOS (5-6) beat TOR, 104-88
12, Nov 12, BOS (6-6) beat MIL, 122-113
13, Nov 13 @ CLE, BOS (6-7) lost to CLE, 89-91
14, Nov 15 @ CLE, BOS (7-7) beat CLE, 98-92
15, Nov 17 @ ATL, BOS (7-8) lost to ATL, 99-110
16, Nov 19, BOS (8-8) beat LAL, 130-108
17, Nov 20, BOS (9-8) beat OKC, 111-105
18, Nov 22, BOS (10-8) beat HOU, 108-90
19, Nov 24, BOS (10-9) lost to BRK, 104-123
20, Nov 26 @ SAS, BOS (10-10) lost to SAS, 88-96
21, Nov 28 @ TOR, BOS (11-10) beat TOR, 109-97
22, Dec 1, BOS (12-10) beat PHI, 88-87
23, Dec 3 @ UTA, BOS (12-11) lost to UTA, 130-137
24, Dec 4 @ POR, BOS (13-11) beat POR, 145-117
25, Dec 7 @ LAL, BOS (13-12) lost to LAL, 102-117
26, Dec 8 @ LAC, BOS (13-13) lost to LAC, 111-114
27, Dec 10 @ PHO, BOS (13-14) lost to PHO, 90-111
