id,timeAndLoc,beat,scored
1, Oct 19 @ MIL, BRK (0-1) lost to MIL, 104-127
2, Oct 22 @ PHI, BRK (1-1) beat PHI, 114-109
3, Oct 24, BRK (1-2) lost to CHO, 95-111
4, Oct 25, BRK (2-2) beat WAS, 104-90
5, Oct 27, BRK (2-3) lost to MIA, 93-106
6, Oct 29, BRK (3-3) beat IND, 105-98
7, Oct 31, BRK (4-3) beat DET, 117-91
8, Nov 3, BRK (5-3) beat ATL, 117-108
9, Nov 5 @ DET, BRK (6-3) beat DET, 96-90
10, Nov 7 @ TOR, BRK (7-3) beat TOR, 116-103
11, Nov 8 @ CHI, BRK (7-4) lost to CHI, 95-118
12, Nov 10 @ ORL, BRK (8-4) beat ORL, 123-90
13, Nov 12 @ NOP, BRK (9-4) beat NOP, 120-112
14, Nov 14 @ OKC, BRK (10-4) beat OKC, 120-96
15, Nov 16, BRK (10-5) lost to GSW, 99-117
16, Nov 17, BRK (11-5) beat CLE, 109-99
17, Nov 19, BRK (12-5) beat ORL, 115-113
18, Nov 22 @ CLE, BRK (13-5) beat CLE, 117-112
19, Nov 24 @ BOS, BRK (14-5) beat BOS, 123-104
20, Nov 27, BRK (14-6) lost to PHO, 107-113
21, Nov 30, BRK (15-6) beat NYK, 112-110
22, Dec 3, BRK (16-6) beat MIN, 110-105
23, Dec 4, BRK (16-7) lost to CHI, 107-111
24, Dec 7 @ DAL, BRK (17-7) beat DAL, 102-99
25, Dec 8 @ HOU, BRK (17-8) lost to HOU, 104-114
26, Dec 10 @ ATL, BRK (18-8) beat ATL, 113-105
