id,timeAndLoc,beat,scored
1, Oct 20 @ DET, CHI (1-0) beat DET, 94-88
2, Oct 22, CHI (2-0) beat NOP, 128-112
3, Oct 23, CHI (3-0) beat DET, 97-82
4, Oct 25 @ TOR, CHI (4-0) beat TOR, 111-108
5, Oct 28, CHI (4-1) lost to NYK, 103-104
6, Oct 30, CHI (5-1) beat UTA, 107-99
7, Nov 1 @ BOS, CHI (6-1) beat BOS, 128-114
8, Nov 3 @ PHI, CHI (6-2) lost to PHI, 98-103
9, Nov 6, CHI (6-3) lost to PHI, 105-114
10, Nov 8, CHI (7-3) beat BRK, 118-95
11, Nov 10, CHI (8-3) beat DAL, 117-107
12, Nov 12 @ GSW, CHI (8-4) lost to GSW, 93-119
13, Nov 14 @ LAC, CHI (9-4) beat LAC, 100-90
14, Nov 15 @ LAL, CHI (10-4) beat LAL, 121-103
15, Nov 17 @ POR, CHI (10-5) lost to POR, 107-112
16, Nov 19 @ DEN, CHI (11-5) beat DEN, 114-108
17, Nov 21, CHI (12-5) beat NYK, 109-103
18, Nov 22, CHI (12-6) lost to IND, 77-109
19, Nov 24 @ HOU, CHI (12-7) lost to HOU, 113-118
20, Nov 26 @ ORL, CHI (13-7) beat ORL, 123-88
21, Nov 27, CHI (13-8) lost to MIA, 104-107
22, Nov 29, CHI (14-8) beat CHO, 133-119
23, Dec 2 @ NYK, CHI (15-8) beat NYK, 119-115
24, Dec 4 @ BRK, CHI (16-8) beat BRK, 111-107
25, Dec 6, CHI (17-8) beat DEN, 109-97
26, Dec 8 @ CLE, CHI (17-9) lost to CLE, 92-115
