id,timeAndLoc,beat,scored
1, Oct 20 @ MEM, CLE (0-1) lost to MEM, 121-132
2, Oct 22, CLE (0-2) lost to CHO, 112-123
3, Oct 23, CLE (1-2) beat ATL, 101-95
4, Oct 25 @ DEN, CLE (2-2) beat DEN, 99-87
5, Oct 27 @ LAC, CLE (3-2) beat LAC, 92-79
6, Oct 29 @ LAL, CLE (3-3) lost to LAL, 101-113
7, Oct 30 @ PHO, CLE (3-4) lost to PHO, 92-101
8, Nov 1 @ CHO, CLE (4-4) beat CHO, 113-110
9, Nov 3, CLE (5-4) beat POR, 107-104
10, Nov 5 @ TOR, CLE (6-4) beat TOR, 102-101
11, Nov 7 @ NYK, CLE (7-4) beat NYK, 126-109
12, Nov 10, CLE (7-5) lost to WAS, 94-97
13, Nov 12, CLE (8-5) beat DET, 98-78
14, Nov 13, CLE (9-5) beat BOS, 91-89
15, Nov 15, CLE (9-6) lost to BOS, 92-98
16, Nov 17 @ BRK, CLE (9-7) lost to BRK, 99-109
17, Nov 18, CLE (9-8) lost to GSW, 89-104
18, Nov 22, CLE (9-9) lost to BRK, 112-117
19, Nov 24, CLE (9-10) lost to PHO, 115-120
20, Nov 27, CLE (10-10) beat ORL, 105-92
21, Nov 29 @ DAL, CLE (11-10) beat DAL, 114-96
22, Dec 1 @ MIA, CLE (12-10) beat MIA, 111-85
23, Dec 3 @ WAS, CLE (13-10) beat WAS, 116-101
24, Dec 5, CLE (13-11) lost to UTA, 108-109
25, Dec 6 @ MIL, CLE (13-12) lost to MIL, 104-112
26, Dec 8, CLE (14-12) beat CHI, 115-92
27, Dec 10 @ MIN, CLE (15-12) beat MIN, 123-106
