id,timeAndLoc,beat,scored
1, Oct 21 @ ATL, DAL (0-1) lost to ATL, 87-113
2, Oct 23 @ TOR, DAL (1-1) beat TOR, 103-95
3, Oct 26, DAL (2-1) beat HOU, 116-106
4, Oct 28, DAL (3-1) beat SAS, 104-99
5, Oct 29 @ DEN, DAL (3-2) lost to DEN, 75-106
6, Oct 31, DAL (4-2) beat SAC, 105-99
7, Nov 2, DAL (4-3) lost to MIA, 110-125
8, Nov 3 @ SAS, DAL (5-3) beat SAS, 109-108
9, Nov 6, DAL (6-3) beat BOS, 107-104
10, Nov 8, DAL (7-3) beat NOP, 108-92
11, Nov 10 @ CHI, DAL (7-4) lost to CHI, 107-117
12, Nov 12 @ SAS, DAL (8-4) beat SAS, 123-109
13, Nov 15, DAL (9-4) beat DEN, 111-101
14, Nov 17 @ PHO, DAL (9-5) lost to PHO, 98-105
15, Nov 19 @ PHO, DAL (9-6) lost to PHO, 104-112
16, Nov 21 @ LAC, DAL (9-7) lost to LAC, 91-97
17, Nov 23 @ LAC, DAL (10-7) beat LAC, 112-104
18, Nov 27, DAL (10-8) lost to WAS, 114-120
19, Nov 29, DAL (10-9) lost to CLE, 96-114
20, Dec 1 @ NOP, DAL (11-9) beat NOP, 139-107
21, Dec 3, DAL (11-10) lost to NOP, 91-107
22, Dec 4, DAL (11-11) lost to MEM, 90-97
23, Dec 7, DAL (11-12) lost to BRK, 99-102
24, Dec 8 @ MEM, DAL (12-12) beat MEM, 104-96
25, Dec 10 @ IND, DAL (12-13) lost to IND, 93-106
