id,timeAndLoc,beat,scored
1, Oct 20 @ PHO, DEN (1-0) beat PHO, 110-98
2, Oct 22, DEN (2-0) beat SAS, 102-96
3, Oct 25, DEN (2-1) lost to CLE, 87-99
4, Oct 26 @ UTA, DEN (2-2) lost to UTA, 110-122
5, Oct 29, DEN (3-2) beat DAL, 106-75
6, Oct 30 @ MIN, DEN (4-2) beat MIN, 93-91
7, Nov 1 @ MEM, DEN (4-3) lost to MEM, 97-106
8, Nov 3 @ MEM, DEN (4-4) lost to MEM, 106-108
9, Nov 6, DEN (5-4) beat HOU, 95-94
10, Nov 8, DEN (6-4) beat MIA, 113-96
11, Nov 10, DEN (7-4) beat IND, 101-98
12, Nov 12, DEN (8-4) beat ATL, 105-96
13, Nov 14, DEN (9-4) beat POR, 124-95
14, Nov 15 @ DAL, DEN (9-5) lost to DAL, 101-111
15, Nov 18, DEN (9-6) lost to PHI, 89-103
16, Nov 19, DEN (9-7) lost to CHI, 108-114
17, Nov 21 @ PHO, DEN (9-8) lost to PHO, 97-126
18, Nov 23 @ POR, DEN (9-9) lost to POR, 100-119
19, Nov 26, DEN (9-10) lost to MIL, 109-120
20, Nov 29 @ MIA, DEN (10-10) beat MIA, 120-111
21, Dec 1 @ ORL, DEN (10-11) lost to ORL, 103-108
22, Dec 4 @ NYK, DEN (11-11) beat NYK, 113-99
23, Dec 6 @ CHI, DEN (11-12) lost to CHI, 97-109
24, Dec 8 @ NOP, DEN (12-12) beat NOP, 120-114
25, Dec 9 @ SAS, DEN (12-13) lost to SAS, 111-123
