id,timeAndLoc,beat,scored
1, Oct 20, DET (0-1) lost to CHI, 88-94
2, Oct 23 @ CHI, DET (0-2) lost to CHI, 82-97
3, Oct 25 @ ATL, DET (0-3) lost to ATL, 104-122
4, Oct 28 @ PHI, DET (0-4) lost to PHI, 102-110
5, Oct 30, DET (1-4) beat ORL, 110-103
6, Oct 31 @ BRK, DET (1-5) lost to BRK, 91-117
7, Nov 2, DET (1-6) lost to MIL, 89-117
8, Nov 4, DET (1-7) lost to PHI, 98-109
9, Nov 5, DET (1-8) lost to BRK, 90-96
10, Nov 10 @ HOU, DET (2-8) beat HOU, 112-104
11, Nov 12 @ CLE, DET (2-9) lost to CLE, 78-98
12, Nov 13 @ TOR, DET (3-9) beat TOR, 127-121
13, Nov 15, DET (3-10) lost to SAC, 107-129
14, Nov 17, DET (4-10) beat IND, 97-89
15, Nov 19, DET (4-11) lost to GSW, 102-105
16, Nov 21, DET (4-12) lost to LAL, 116-121
17, Nov 23, DET (4-13) lost to MIA, 92-100
18, Nov 24 @ MIL, DET (4-14) lost to MIL, 93-114
19, Nov 26 @ LAC, DET (4-15) lost to LAC, 96-107
20, Nov 28 @ LAL, DET (4-16) lost to LAL, 106-110
21, Nov 30 @ POR, DET (4-17) lost to POR, 92-110
22, Dec 2 @ PHO, DET (4-18) lost to PHO, 103-114
23, Dec 6, DET (4-19) lost to OKC, 103-114
24, Dec 8, DET (4-20) lost to WAS, 116-119
25, Dec 10 @ NOP, DET (4-21) lost to NOP, 93-109
