id,timeAndLoc,beat,scored
1, Oct 19 @ LAL, GSW (1-0) beat LAL, 121-114
2, Oct 21, GSW (2-0) beat LAC, 115-113
3, Oct 24 @ SAC, GSW (3-0) beat SAC, 119-107
4, Oct 26 @ OKC, GSW (4-0) beat OKC, 106-98
5, Oct 28, GSW (4-1) lost to MEM, 101-104
6, Oct 30, GSW (5-1) beat OKC, 103-82
7, Nov 3, GSW (6-1) beat CHO, 114-92
8, Nov 5, GSW (7-1) beat NOP, 126-85
9, Nov 7, GSW (8-1) beat HOU, 120-107
10, Nov 8, GSW (9-1) beat ATL, 127-113
11, Nov 10, GSW (10-1) beat MIN, 123-110
12, Nov 12, GSW (11-1) beat CHI, 119-93
13, Nov 14 @ CHO, GSW (11-2) lost to CHO, 102-106
14, Nov 16 @ BRK, GSW (12-2) beat BRK, 117-99
15, Nov 18 @ CLE, GSW (13-2) beat CLE, 104-89
16, Nov 19 @ DET, GSW (14-2) beat DET, 105-102
17, Nov 21, GSW (15-2) beat TOR, 119-104
18, Nov 24, GSW (16-2) beat PHI, 116-96
19, Nov 26, GSW (17-2) beat POR, 118-103
20, Nov 28 @ LAC, GSW (18-2) beat LAC, 105-90
21, Nov 30 @ PHO, GSW (18-3) lost to PHO, 96-104
22, Dec 3, GSW (19-3) beat PHO, 118-96
23, Dec 4, GSW (19-4) lost to SAS, 107-112
24, Dec 6, GSW (20-4) beat ORL, 126-95
25, Dec 8, GSW (21-4) beat POR, 104-94
