id,timeAndLoc,beat,scored
1, Oct 20 @ MIN, HOU (0-1) lost to MIN, 106-124
2, Oct 22, HOU (1-1) beat OKC, 124-91
3, Oct 24, HOU (1-2) lost to BOS, 97-107
4, Oct 26 @ DAL, HOU (1-3) lost to DAL, 106-116
5, Oct 28, HOU (1-4) lost to UTA, 91-122
6, Oct 31 @ LAL, HOU (1-5) lost to LAL, 85-95
7, Nov 2 @ LAL, HOU (1-6) lost to LAL, 117-119
8, Nov 4 @ PHO, HOU (1-7) lost to PHO, 111-123
9, Nov 6 @ DEN, HOU (1-8) lost to DEN, 94-95
10, Nov 7 @ GSW, HOU (1-9) lost to GSW, 107-120
11, Nov 10, HOU (1-10) lost to DET, 104-112
12, Nov 12, HOU (1-11) lost to POR, 92-104
13, Nov 14, HOU (1-12) lost to PHO, 89-115
14, Nov 15 @ MEM, HOU (1-13) lost to MEM, 102-136
15, Nov 17 @ OKC, HOU (1-14) lost to OKC, 89-101
16, Nov 20 @ NYK, HOU (1-15) lost to NYK, 99-106
17, Nov 22 @ BOS, HOU (1-16) lost to BOS, 90-108
18, Nov 24, HOU (2-16) beat CHI, 118-113
19, Nov 27, HOU (3-16) beat CHO, 146-143
20, Nov 29, HOU (4-16) beat OKC, 102-89
21, Dec 1 @ OKC, HOU (5-16) beat OKC, 114-110
22, Dec 3, HOU (6-16) beat ORL, 118-116
23, Dec 5, HOU (7-16) beat NOP, 118-108
24, Dec 8, HOU (8-16) beat BRK, 114-104
25, Dec 10, HOU (8-17) lost to MIL, 114-123
