id,timeAndLoc,beat,scored
1, Oct 20 @ CHO, IND (0-1) lost to CHO, 122-123
2, Oct 22 @ WAS, IND (0-2) lost to WAS, 134-135
3, Oct 23, IND (1-2) beat MIA, 102-91
4, Oct 25, IND (1-3) lost to MIL, 109-119
5, Oct 27 @ TOR, IND (1-4) lost to TOR, 100-118
6, Oct 29 @ BRK, IND (1-5) lost to BRK, 98-105
7, Oct 30, IND (1-6) lost to TOR, 94-97
8, Nov 1, IND (2-6) beat SAS, 131-118
9, Nov 3, IND (3-6) beat NYK, 111-98
10, Nov 5 @ POR, IND (3-7) lost to POR, 106-110
11, Nov 7 @ SAC, IND (4-7) beat SAC, 94-91
12, Nov 10 @ DEN, IND (4-8) lost to DEN, 98-101
13, Nov 11 @ UTA, IND (5-8) beat UTA, 111-100
14, Nov 13, IND (6-8) beat PHI, 118-113
15, Nov 15 @ NYK, IND (6-9) lost to NYK, 84-92
16, Nov 17 @ DET, IND (6-10) lost to DET, 89-97
17, Nov 19 @ CHO, IND (6-11) lost to CHO, 118-121
18, Nov 20, IND (7-11) beat NOP, 111-94
19, Nov 22 @ CHI, IND (8-11) beat CHI, 109-77
20, Nov 24, IND (8-12) lost to LAL, 116-124
21, Nov 26, IND (9-12) beat TOR, 114-97
22, Nov 28, IND (9-13) lost to MIL, 100-118
23, Nov 29 @ MIN, IND (9-14) lost to MIN, 98-100
24, Dec 1, IND (9-15) lost to ATL, 111-114
25, Dec 3, IND (9-16) lost to MIA, 104-113
26, Dec 6, IND (10-16) beat WAS, 116-110
27, Dec 8, IND (11-16) beat NYK, 122-102
28, Dec 10, IND (12-16) beat DAL, 106-93
