id,timeAndLoc,beat,scored
1, Oct 21 @ GSW, LAC (0-1) lost to GSW, 113-115
2, Oct 23, LAC (0-2) lost to MEM, 114-120
3, Oct 25, LAC (1-2) beat POR, 116-86
4, Oct 27, LAC (1-3) lost to CLE, 79-92
5, Oct 29 @ POR, LAC (1-4) lost to POR, 92-111
6, Nov 1, LAC (2-4) beat OKC, 99-94
7, Nov 3 @ MIN, LAC (3-4) beat MIN, 126-115
8, Nov 5 @ MIN, LAC (4-4) beat MIN, 104-84
9, Nov 7, LAC (5-4) beat CHO, 120-106
10, Nov 9, LAC (6-4) beat POR, 117-109
11, Nov 11, LAC (7-4) beat MIA, 112-109
12, Nov 13, LAC (8-4) beat MIN, 129-102
13, Nov 14, LAC (8-5) lost to CHI, 90-100
14, Nov 16, LAC (9-5) beat SAS, 106-92
15, Nov 18 @ MEM, LAC (9-6) lost to MEM, 108-120
16, Nov 19 @ NOP, LAC (9-7) lost to NOP, 81-94
17, Nov 21, LAC (10-7) beat DAL, 97-91
18, Nov 23, LAC (10-8) lost to DAL, 104-112
19, Nov 26, LAC (11-8) beat DET, 107-96
20, Nov 28, LAC (11-9) lost to GSW, 90-105
21, Nov 29, LAC (11-10) lost to NOP, 104-123
22, Dec 1, LAC (11-11) lost to SAC, 115-124
23, Dec 3 @ LAL, LAC (12-11) beat LAL, 119-115
24, Dec 4 @ SAC, LAC (12-12) lost to SAC, 99-104
25, Dec 6 @ POR, LAC (13-12) beat POR, 102-90
26, Dec 8, LAC (14-12) beat BOS, 114-111
