id,timeAndLoc,beat,scored
1, Oct 19, LAL (0-1) lost to GSW, 114-121
2, Oct 22, LAL (0-2) lost to PHO, 105-115
3, Oct 24, LAL (1-2) beat MEM, 121-118
4, Oct 26 @ SAS, LAL (2-2) beat SAS, 125-121
5, Oct 27 @ OKC, LAL (2-3) lost to OKC, 115-123
6, Oct 29, LAL (3-3) beat CLE, 113-101
7, Oct 31, LAL (4-3) beat HOU, 95-85
8, Nov 2, LAL (5-3) beat HOU, 119-117
9, Nov 4, LAL (5-4) lost to OKC, 104-107
10, Nov 6 @ POR, LAL (5-5) lost to POR, 90-105
11, Nov 8, LAL (6-5) beat CHO, 126-123
12, Nov 10, LAL (7-5) beat MIA, 120-117
13, Nov 12, LAL (7-6) lost to MIN, 83-107
14, Nov 14, LAL (8-6) beat SAS, 114-106
15, Nov 15, LAL (8-7) lost to CHI, 103-121
16, Nov 17 @ MIL, LAL (8-8) lost to MIL, 102-109
17, Nov 19 @ BOS, LAL (8-9) lost to BOS, 108-130
18, Nov 21 @ DET, LAL (9-9) beat DET, 121-116
19, Nov 23 @ NYK, LAL (9-10) lost to NYK, 100-106
20, Nov 24 @ IND, LAL (10-10) beat IND, 124-116
21, Nov 26, LAL (10-11) lost to SAC, 137-141
22, Nov 28, LAL (11-11) beat DET, 110-106
23, Nov 30 @ SAC, LAL (12-11) beat SAC, 117-92
24, Dec 3, LAL (12-12) lost to LAC, 115-119
25, Dec 7, LAL (13-12) beat BOS, 117-102
26, Dec 9 @ MEM, LAL (13-13) lost to MEM, 95-108
27, Dec 10 @ OKC, LAL (14-13) beat OKC, 116-95
