id,timeAndLoc,beat,scored
1, Oct 20, MEM (1-0) beat CLE, 132-121
2, Oct 23 @ LAC, MEM (2-0) beat LAC, 120-114
3, Oct 24 @ LAL, MEM (2-1) lost to LAL, 118-121
4, Oct 27 @ POR, MEM (2-2) lost to POR, 96-116
5, Oct 28 @ GSW, MEM (3-2) beat GSW, 104-101
6, Oct 30, MEM (3-3) lost to MIA, 103-129
7, Nov 1, MEM (4-3) beat DEN, 106-97
8, Nov 3, MEM (5-3) beat DEN, 108-106
9, Nov 5 @ WAS, MEM (5-4) lost to WAS, 87-115
10, Nov 8, MEM (6-4) beat MIN, 125-118
11, Nov 10, MEM (6-5) lost to CHO, 108-118
12, Nov 12, MEM (6-6) lost to PHO, 94-119
13, Nov 13 @ NOP, MEM (6-7) lost to NOP, 101-112
14, Nov 15, MEM (7-7) beat HOU, 136-102
15, Nov 18, MEM (8-7) beat LAC, 120-108
16, Nov 20 @ MIN, MEM (8-8) lost to MIN, 95-138
17, Nov 22 @ UTA, MEM (9-8) beat UTA, 119-118
18, Nov 24, MEM (9-9) lost to TOR, 113-126
19, Nov 26, MEM (9-10) lost to ATL, 100-132
20, Nov 28, MEM (10-10) beat SAC, 128-101
21, Nov 30 @ TOR, MEM (11-10) beat TOR, 98-91
22, Dec 2, MEM (12-10) beat OKC, 152-79
23, Dec 4 @ DAL, MEM (13-10) beat DAL, 97-90
24, Dec 6 @ MIA, MEM (14-10) beat MIA, 105-90
25, Dec 8, MEM (14-11) lost to DAL, 96-104
26, Dec 9, MEM (15-11) beat LAL, 108-95
