id,timeAndLoc,beat,scored
1, Oct 21, MIA (1-0) beat MIL, 137-95
2, Oct 23 @ IND, MIA (1-1) lost to IND, 91-102
3, Oct 25, MIA (2-1) beat ORL, 107-90
4, Oct 27 @ BRK, MIA (3-1) beat BRK, 106-93
5, Oct 29, MIA (4-1) beat CHO, 114-99
6, Oct 30 @ MEM, MIA (5-1) beat MEM, 129-103
7, Nov 2 @ DAL, MIA (6-1) beat DAL, 125-110
8, Nov 4, MIA (6-2) lost to BOS, 78-95
9, Nov 6, MIA (7-2) beat UTA, 118-115
10, Nov 8 @ DEN, MIA (7-3) lost to DEN, 96-113
11, Nov 10 @ LAL, MIA (7-4) lost to LAL, 117-120
12, Nov 11 @ LAC, MIA (7-5) lost to LAC, 109-112
13, Nov 13 @ UTA, MIA (8-5) beat UTA, 111-105
14, Nov 15 @ OKC, MIA (9-5) beat OKC, 103-90
15, Nov 17, MIA (10-5) beat NOP, 113-98
16, Nov 18, MIA (11-5) beat WAS, 112-97
17, Nov 20 @ WAS, MIA (11-6) lost to WAS, 100-103
18, Nov 23 @ DET, MIA (12-6) beat DET, 100-92
19, Nov 24 @ MIN, MIA (12-7) lost to MIN, 101-113
20, Nov 27 @ CHI, MIA (13-7) beat CHI, 107-104
21, Nov 29, MIA (13-8) lost to DEN, 111-120
22, Dec 1, MIA (13-9) lost to CLE, 85-111
23, Dec 3 @ IND, MIA (14-9) beat IND, 113-104
24, Dec 4 @ MIL, MIA (14-10) lost to MIL, 102-124
25, Dec 6, MIA (14-11) lost to MEM, 90-105
26, Dec 8, MIA (15-11) beat MIL, 113-104
