id,timeAndLoc,beat,scored
1, Oct 19, MIL (1-0) beat BRK, 127-104
2, Oct 21 @ MIA, MIL (1-1) lost to MIA, 95-137
3, Oct 23 @ SAS, MIL (2-1) beat SAS, 121-111
4, Oct 25 @ IND, MIL (3-1) beat IND, 119-109
5, Oct 27, MIL (3-2) lost to MIN, 108-113
6, Oct 30, MIL (3-3) lost to SAS, 93-102
7, Oct 31, MIL (3-4) lost to UTA, 95-107
8, Nov 2 @ DET, MIL (4-4) beat DET, 117-89
9, Nov 5, MIL (4-5) lost to NYK, 98-113
10, Nov 7 @ WAS, MIL (4-6) lost to WAS, 94-101
11, Nov 9 @ PHI, MIL (5-6) beat PHI, 118-109
12, Nov 10 @ NYK, MIL (6-6) beat NYK, 112-100
13, Nov 12 @ BOS, MIL (6-7) lost to BOS, 113-122
14, Nov 14 @ ATL, MIL (6-8) lost to ATL, 100-120
15, Nov 17, MIL (7-8) beat LAL, 109-102
16, Nov 19, MIL (8-8) beat OKC, 96-89
17, Nov 20, MIL (9-8) beat ORL, 117-108
18, Nov 22, MIL (10-8) beat ORL, 123-92
19, Nov 24, MIL (11-8) beat DET, 114-93
20, Nov 26 @ DEN, MIL (12-8) beat DEN, 120-109
21, Nov 28 @ IND, MIL (13-8) beat IND, 118-100
22, Dec 1, MIL (14-8) beat CHO, 127-125
23, Dec 2 @ TOR, MIL (14-9) lost to TOR, 93-97
24, Dec 4, MIL (15-9) beat MIA, 124-102
25, Dec 6, MIL (16-9) beat CLE, 112-104
26, Dec 8 @ MIA, MIL (16-10) lost to MIA, 104-113
27, Dec 10 @ HOU, MIL (17-10) beat HOU, 123-114
