id,timeAndLoc,beat,scored
1, Oct 20, MIN (1-0) beat HOU, 124-106
2, Oct 23, MIN (2-0) beat NOP, 96-89
3, Oct 25, MIN (2-1) lost to NOP, 98-107
4, Oct 27 @ MIL, MIN (3-1) beat MIL, 113-108
5, Oct 30, MIN (3-2) lost to DEN, 91-93
6, Nov 1, MIN (3-3) lost to ORL, 97-115
7, Nov 3, MIN (3-4) lost to LAC, 115-126
8, Nov 5, MIN (3-5) lost to LAC, 84-104
9, Nov 8 @ MEM, MIN (3-6) lost to MEM, 118-125
10, Nov 10 @ GSW, MIN (3-7) lost to GSW, 110-123
11, Nov 12 @ LAL, MIN (4-7) beat LAL, 107-83
12, Nov 13 @ LAC, MIN (4-8) lost to LAC, 102-129
13, Nov 15, MIN (4-9) lost to PHO, 96-99
14, Nov 17, MIN (5-9) beat SAC, 107-97
15, Nov 18, MIN (6-9) beat SAS, 115-90
16, Nov 20, MIN (7-9) beat MEM, 138-95
17, Nov 22 @ NOP, MIN (8-9) beat NOP, 110-96
18, Nov 24, MIN (9-9) beat MIA, 113-101
19, Nov 26 @ CHO, MIN (9-10) lost to CHO, 115-133
20, Nov 27 @ PHI, MIN (10-10) beat PHI, 121-120
21, Nov 29, MIN (11-10) beat IND, 100-98
22, Dec 1 @ WAS, MIN (11-11) lost to WAS, 107-115
23, Dec 3 @ BRK, MIN (11-12) lost to BRK, 105-110
24, Dec 6, MIN (11-13) lost to ATL, 110-121
25, Dec 8, MIN (11-14) lost to UTA, 104-136
26, Dec 10, MIN (11-15) lost to CLE, 106-123
