id,timeAndLoc,beat,scored
1, Oct 20, NOP (0-1) lost to PHI, 97-117
2, Oct 22 @ CHI, NOP (0-2) lost to CHI, 112-128
3, Oct 23 @ MIN, NOP (0-3) lost to MIN, 89-96
4, Oct 25 @ MIN, NOP (1-3) beat MIN, 107-98
5, Oct 27, NOP (1-4) lost to ATL, 99-102
6, Oct 29, NOP (1-5) lost to SAC, 109-113
7, Oct 30, NOP (1-6) lost to NYK, 117-123
8, Nov 2 @ PHO, NOP (1-7) lost to PHO, 100-112
9, Nov 3 @ SAC, NOP (1-8) lost to SAC, 99-112
10, Nov 5 @ GSW, NOP (1-9) lost to GSW, 85-126
11, Nov 8 @ DAL, NOP (1-10) lost to DAL, 92-108
12, Nov 10, NOP (1-11) lost to OKC, 100-108
13, Nov 12, NOP (1-12) lost to BRK, 112-120
14, Nov 13, NOP (2-12) beat MEM, 112-101
15, Nov 15 @ WAS, NOP (2-13) lost to WAS, 100-105
16, Nov 17 @ MIA, NOP (2-14) lost to MIA, 98-113
17, Nov 19, NOP (3-14) beat LAC, 94-81
18, Nov 20 @ IND, NOP (3-15) lost to IND, 94-111
19, Nov 22, NOP (3-16) lost to MIN, 96-110
20, Nov 24, NOP (4-16) beat WAS, 127-102
21, Nov 26 @ UTA, NOP (5-16) beat UTA, 98-97
22, Nov 27 @ UTA, NOP (5-17) lost to UTA, 105-127
23, Nov 29 @ LAC, NOP (6-17) beat LAC, 123-104
24, Dec 1, NOP (6-18) lost to DAL, 107-139
25, Dec 3 @ DAL, NOP (7-18) beat DAL, 107-91
26, Dec 5 @ HOU, NOP (7-19) lost to HOU, 108-118
27, Dec 8, NOP (7-20) lost to DEN, 114-120
28, Dec 10, NOP (8-20) beat DET, 109-93
