id,timeAndLoc,beat,scored
1, Oct 20, NYK (1-0) beat BOS, 138-134
2, Oct 22 @ ORL, NYK (2-0) beat ORL, 121-96
3, Oct 24, NYK (2-1) lost to ORL, 104-110
4, Oct 26, NYK (3-1) beat PHI, 112-99
5, Oct 28 @ CHI, NYK (4-1) beat CHI, 104-103
6, Oct 30 @ NOP, NYK (5-1) beat NOP, 123-117
7, Nov 1, NYK (5-2) lost to TOR, 104-113
8, Nov 3 @ IND, NYK (5-3) lost to IND, 98-111
9, Nov 5 @ MIL, NYK (6-3) beat MIL, 113-98
10, Nov 7, NYK (6-4) lost to CLE, 109-126
11, Nov 8 @ PHI, NYK (7-4) beat PHI, 103-96
12, Nov 10, NYK (7-5) lost to MIL, 100-112
13, Nov 12 @ CHO, NYK (7-6) lost to CHO, 96-104
14, Nov 15, NYK (8-6) beat IND, 92-84
15, Nov 17, NYK (8-7) lost to ORL, 98-104
16, Nov 20, NYK (9-7) beat HOU, 106-99
17, Nov 21 @ CHI, NYK (9-8) lost to CHI, 103-109
18, Nov 23, NYK (10-8) beat LAL, 106-100
19, Nov 26, NYK (10-9) lost to PHO, 97-118
20, Nov 27 @ ATL, NYK (11-9) beat ATL, 99-90
21, Nov 30 @ BRK, NYK (11-10) lost to BRK, 110-112
22, Dec 2, NYK (11-11) lost to CHI, 115-119
23, Dec 4, NYK (11-12) lost to DEN, 99-113
24, Dec 7 @ SAS, NYK (12-12) beat SAS, 121-109
25, Dec 8 @ IND, NYK (12-13) lost to IND, 102-122
26, Dec 10 @ TOR, NYK (12-14) lost to TOR, 87-90
