id,timeAndLoc,beat,scored
1, Oct 20 @ UTA, OKC (0-1) lost to UTA, 86-107
2, Oct 22 @ HOU, OKC (0-2) lost to HOU, 91-124
3, Oct 24, OKC (0-3) lost to PHI, 103-115
4, Oct 26, OKC (0-4) lost to GSW, 98-106
5, Oct 27, OKC (1-4) beat LAL, 123-115
6, Oct 30 @ GSW, OKC (1-5) lost to GSW, 82-103
7, Nov 1 @ LAC, OKC (1-6) lost to LAC, 94-99
8, Nov 4 @ LAL, OKC (2-6) beat LAL, 107-104
9, Nov 7, OKC (3-6) beat SAS, 99-94
10, Nov 10 @ NOP, OKC (4-6) beat NOP, 108-100
11, Nov 12, OKC (5-6) beat SAC, 105-103
12, Nov 14, OKC (5-7) lost to BRK, 96-120
13, Nov 15, OKC (5-8) lost to MIA, 90-103
14, Nov 17, OKC (6-8) beat HOU, 101-89
15, Nov 19 @ MIL, OKC (6-9) lost to MIL, 89-96
16, Nov 20 @ BOS, OKC (6-10) lost to BOS, 105-111
17, Nov 22 @ ATL, OKC (6-11) lost to ATL, 101-113
18, Nov 24, OKC (6-12) lost to UTA, 104-110
19, Nov 26, OKC (6-13) lost to WAS, 99-101
20, Nov 29 @ HOU, OKC (6-14) lost to HOU, 89-102
21, Dec 1, OKC (6-15) lost to HOU, 110-114
22, Dec 2 @ MEM, OKC (6-16) lost to MEM, 79-152
23, Dec 6 @ DET, OKC (7-16) beat DET, 114-103
24, Dec 8 @ TOR, OKC (8-16) beat TOR, 110-109
25, Dec 10, OKC (8-17) lost to LAL, 95-116
