id,timeAndLoc,beat,scored
1, Oct 20 @ SAS, ORL (0-1) lost to SAS, 97-123
2, Oct 22, ORL (0-2) lost to NYK, 96-121
3, Oct 24 @ NYK, ORL (1-2) beat NYK, 110-104
4, Oct 25 @ MIA, ORL (1-3) lost to MIA, 90-107
5, Oct 27, ORL (1-4) lost to CHO, 111-120
6, Oct 29 @ TOR, ORL (1-5) lost to TOR, 109-110
7, Oct 30 @ DET, ORL (1-6) lost to DET, 103-110
8, Nov 1 @ MIN, ORL (2-6) beat MIN, 115-97
9, Nov 3, ORL (2-7) lost to BOS, 79-92
10, Nov 5, ORL (2-8) lost to SAS, 89-102
11, Nov 7, ORL (3-8) beat UTA, 107-100
12, Nov 10, ORL (3-9) lost to BRK, 90-123
13, Nov 13, ORL (3-10) lost to WAS, 92-104
14, Nov 15 @ ATL, ORL (3-11) lost to ATL, 111-129
15, Nov 17 @ NYK, ORL (4-11) beat NYK, 104-98
16, Nov 19 @ BRK, ORL (4-12) lost to BRK, 113-115
17, Nov 20 @ MIL, ORL (4-13) lost to MIL, 108-117
18, Nov 22 @ MIL, ORL (4-14) lost to MIL, 92-123
19, Nov 24, ORL (4-15) lost to CHO, 99-106
20, Nov 26, ORL (4-16) lost to CHI, 88-123
21, Nov 27 @ CLE, ORL (4-17) lost to CLE, 92-105
22, Nov 29 @ PHI, ORL (4-18) lost to PHI, 96-101
23, Dec 1, ORL (5-18) beat DEN, 108-103
24, Dec 3 @ HOU, ORL (5-19) lost to HOU, 116-118
25, Dec 6 @ GSW, ORL (5-20) lost to GSW, 95-126
26, Dec 8 @ SAC, ORL (5-21) lost to SAC, 130-142
