id,timeAndLoc,beat,scored
1, Oct 20 @ NOP, PHI (1-0) beat NOP, 117-97
2, Oct 22, PHI (1-1) lost to BRK, 109-114
3, Oct 24 @ OKC, PHI (2-1) beat OKC, 115-103
4, Oct 26 @ NYK, PHI (2-2) lost to NYK, 99-112
5, Oct 28, PHI (3-2) beat DET, 110-102
6, Oct 30, PHI (4-2) beat ATL, 122-94
7, Nov 1, PHI (5-2) beat POR, 113-103
8, Nov 3, PHI (6-2) beat CHI, 103-98
9, Nov 4 @ DET, PHI (7-2) beat DET, 109-98
10, Nov 6 @ CHI, PHI (8-2) beat CHI, 114-105
11, Nov 8, PHI (8-3) lost to NYK, 96-103
12, Nov 9, PHI (8-4) lost to MIL, 109-118
13, Nov 11, PHI (8-5) lost to TOR, 109-115
14, Nov 13 @ IND, PHI (8-6) lost to IND, 113-118
15, Nov 16 @ UTA, PHI (8-7) lost to UTA, 85-120
16, Nov 18 @ DEN, PHI (9-7) beat DEN, 103-89
17, Nov 20 @ POR, PHI (9-8) lost to POR, 111-118
18, Nov 22 @ SAC, PHI (10-8) beat SAC, 102-94
19, Nov 24 @ GSW, PHI (10-9) lost to GSW, 96-116
20, Nov 27, PHI (10-10) lost to MIN, 120-121
21, Nov 29, PHI (11-10) beat ORL, 101-96
22, Dec 1 @ BOS, PHI (11-11) lost to BOS, 87-88
23, Dec 3 @ ATL, PHI (12-11) beat ATL, 98-96
24, Dec 6 @ CHO, PHI (13-11) beat CHO, 127-124
25, Dec 8 @ CHO, PHI (14-11) beat CHO, 110-106
26, Dec 9, PHI (14-12) lost to UTA, 96-118
