id,timeAndLoc,beat,scored
1, Oct 20, PHO (0-1) lost to DEN, 98-110
2, Oct 22 @ LAL, PHO (1-1) beat LAL, 115-105
3, Oct 23 @ POR, PHO (1-2) lost to POR, 105-134
4, Oct 27, PHO (1-3) lost to SAC, 107-110
5, Oct 30, PHO (2-3) beat CLE, 101-92
6, Nov 2, PHO (3-3) beat NOP, 112-100
7, Nov 4, PHO (4-3) beat HOU, 123-111
8, Nov 6, PHO (5-3) beat ATL, 121-117
9, Nov 8 @ SAC, PHO (6-3) beat SAC, 109-104
10, Nov 10, PHO (7-3) beat POR, 119-109
11, Nov 12 @ MEM, PHO (8-3) beat MEM, 119-94
12, Nov 14 @ HOU, PHO (9-3) beat HOU, 115-89
13, Nov 15 @ MIN, PHO (10-3) beat MIN, 99-96
14, Nov 17, PHO (11-3) beat DAL, 105-98
15, Nov 19, PHO (12-3) beat DAL, 112-104
16, Nov 21, PHO (13-3) beat DEN, 126-97
17, Nov 22 @ SAS, PHO (14-3) beat SAS, 115-111
18, Nov 24 @ CLE, PHO (15-3) beat CLE, 120-115
19, Nov 26 @ NYK, PHO (16-3) beat NYK, 118-97
20, Nov 27 @ BRK, PHO (17-3) beat BRK, 113-107
21, Nov 30, PHO (18-3) beat GSW, 104-96
22, Dec 2, PHO (19-3) beat DET, 114-103
23, Dec 3 @ GSW, PHO (19-4) lost to GSW, 96-118
24, Dec 6, PHO (20-4) beat SAS, 108-104
25, Dec 10, PHO (21-4) beat BOS, 111-90
