id,timeAndLoc,beat,scored
1, Oct 20, POR (0-1) lost to SAC, 121-124
2, Oct 23, POR (1-1) beat PHO, 134-105
3, Oct 25 @ LAC, POR (1-2) lost to LAC, 86-116
4, Oct 27, POR (2-2) beat MEM, 116-96
5, Oct 29, POR (3-2) beat LAC, 111-92
6, Oct 31 @ CHO, POR (3-3) lost to CHO, 113-125
7, Nov 1 @ PHI, POR (3-4) lost to PHI, 103-113
8, Nov 3 @ CLE, POR (3-5) lost to CLE, 104-107
9, Nov 5, POR (4-5) beat IND, 110-106
10, Nov 6, POR (5-5) beat LAL, 105-90
11, Nov 9 @ LAC, POR (5-6) lost to LAC, 109-117
12, Nov 10 @ PHO, POR (5-7) lost to PHO, 109-119
13, Nov 12 @ HOU, POR (6-7) beat HOU, 104-92
14, Nov 14 @ DEN, POR (6-8) lost to DEN, 95-124
15, Nov 15, POR (7-8) beat TOR, 118-113
16, Nov 17, POR (8-8) beat CHI, 112-107
17, Nov 20, POR (9-8) beat PHI, 118-111
18, Nov 23, POR (10-8) beat DEN, 119-100
19, Nov 24 @ SAC, POR (10-9) lost to SAC, 121-125
20, Nov 26 @ GSW, POR (10-10) lost to GSW, 103-118
21, Nov 29 @ UTA, POR (10-11) lost to UTA, 107-129
22, Nov 30, POR (11-11) beat DET, 110-92
23, Dec 2, POR (11-12) lost to SAS, 83-114
24, Dec 4, POR (11-13) lost to BOS, 117-145
25, Dec 6, POR (11-14) lost to LAC, 90-102
26, Dec 8 @ GSW, POR (11-15) lost to GSW, 94-104
