id,timeAndLoc,beat,scored
1, Oct 20 @ POR, SAC (1-0) beat POR, 124-121
2, Oct 22, SAC (1-1) lost to UTA, 101-110
3, Oct 24, SAC (1-2) lost to GSW, 107-119
4, Oct 27 @ PHO, SAC (2-2) beat PHO, 110-107
5, Oct 29 @ NOP, SAC (3-2) beat NOP, 113-109
6, Oct 31 @ DAL, SAC (3-3) lost to DAL, 99-105
7, Nov 2 @ UTA, SAC (3-4) lost to UTA, 113-119
8, Nov 3, SAC (4-4) beat NOP, 112-99
9, Nov 5, SAC (5-4) beat CHO, 140-110
10, Nov 7, SAC (5-5) lost to IND, 91-94
11, Nov 8, SAC (5-6) lost to PHO, 104-109
12, Nov 10 @ SAS, SAC (5-7) lost to SAS, 117-136
13, Nov 12 @ OKC, SAC (5-8) lost to OKC, 103-105
14, Nov 15 @ DET, SAC (6-8) beat DET, 129-107
15, Nov 17 @ MIN, SAC (6-9) lost to MIN, 97-107
16, Nov 19, SAC (6-10) lost to TOR, 89-108
17, Nov 20, SAC (6-11) lost to UTA, 105-123
18, Nov 22, SAC (6-12) lost to PHI, 94-102
19, Nov 24, SAC (7-12) beat POR, 125-121
20, Nov 26 @ LAL, SAC (8-12) beat LAL, 141-137
21, Nov 28 @ MEM, SAC (8-13) lost to MEM, 101-128
22, Nov 30, SAC (8-14) lost to LAL, 92-117
23, Dec 1 @ LAC, SAC (9-14) beat LAC, 124-115
24, Dec 4, SAC (10-14) beat LAC, 104-99
25, Dec 8, SAC (11-14) beat ORL, 142-130
26, Dec 10 @ CHO, SAC (11-15) lost to CHO, 123-124
