id,timeAndLoc,beat,scored
1, Oct 20, SAS (1-0) beat ORL, 123-97
2, Oct 22 @ DEN, SAS (1-1) lost to DEN, 96-102
3, Oct 23, SAS (1-2) lost to MIL, 111-121
4, Oct 26, SAS (1-3) lost to LAL, 121-125
5, Oct 28 @ DAL, SAS (1-4) lost to DAL, 99-104
6, Oct 30 @ MIL, SAS (2-4) beat MIL, 102-93
7, Nov 1 @ IND, SAS (2-5) lost to IND, 118-131
8, Nov 3, SAS (2-6) lost to DAL, 108-109
9, Nov 5 @ ORL, SAS (3-6) beat ORL, 102-89
10, Nov 7 @ OKC, SAS (3-7) lost to OKC, 94-99
11, Nov 10, SAS (4-7) beat SAC, 136-117
12, Nov 12, SAS (4-8) lost to DAL, 109-123
13, Nov 14 @ LAL, SAS (4-9) lost to LAL, 106-114
14, Nov 16 @ LAC, SAS (4-10) lost to LAC, 92-106
15, Nov 18 @ MIN, SAS (4-11) lost to MIN, 90-115
16, Nov 22, SAS (4-12) lost to PHO, 111-115
17, Nov 24, SAS (4-13) lost to ATL, 106-124
18, Nov 26, SAS (5-13) beat BOS, 96-88
19, Nov 29, SAS (6-13) beat WAS, 116-99
20, Dec 2 @ POR, SAS (7-13) beat POR, 114-83
21, Dec 4 @ GSW, SAS (8-13) beat GSW, 112-107
22, Dec 6 @ PHO, SAS (8-14) lost to PHO, 104-108
23, Dec 7, SAS (8-15) lost to NYK, 109-121
24, Dec 9, SAS (9-15) beat DEN, 123-111
