id,timeAndLoc,beat,scored
1, Oct 20, TOR (0-1) lost to WAS, 83-98
2, Oct 22 @ BOS, TOR (1-1) beat BOS, 115-83
3, Oct 23, TOR (1-2) lost to DAL, 95-103
4, Oct 25, TOR (1-3) lost to CHI, 108-111
5, Oct 27, TOR (2-3) beat IND, 118-100
6, Oct 29, TOR (3-3) beat ORL, 110-109
7, Oct 30 @ IND, TOR (4-3) beat IND, 97-94
8, Nov 1 @ NYK, TOR (5-3) beat NYK, 113-104
9, Nov 3 @ WAS, TOR (6-3) beat WAS, 109-100
10, Nov 5, TOR (6-4) lost to CLE, 101-102
11, Nov 7, TOR (6-5) lost to BRK, 103-116
12, Nov 10 @ BOS, TOR (6-6) lost to BOS, 88-104
13, Nov 11 @ PHI, TOR (7-6) beat PHI, 115-109
14, Nov 13, TOR (7-7) lost to DET, 121-127
15, Nov 15 @ POR, TOR (7-8) lost to POR, 113-118
16, Nov 18 @ UTA, TOR (7-9) lost to UTA, 103-119
17, Nov 19 @ SAC, TOR (8-9) beat SAC, 108-89
18, Nov 21 @ GSW, TOR (8-10) lost to GSW, 104-119
19, Nov 24 @ MEM, TOR (9-10) beat MEM, 126-113
20, Nov 26 @ IND, TOR (9-11) lost to IND, 97-114
21, Nov 28, TOR (9-12) lost to BOS, 97-109
22, Nov 30, TOR (9-13) lost to MEM, 91-98
23, Dec 2, TOR (10-13) beat MIL, 97-93
24, Dec 5, TOR (11-13) beat WAS, 102-90
25, Dec 8, TOR (11-14) lost to OKC, 109-110
26, Dec 10, TOR (12-14) beat NYK, 90-87
