id,timeAndLoc,beat,scored
1, Oct 20, UTA (1-0) beat OKC, 107-86
2, Oct 22 @ SAC, UTA (2-0) beat SAC, 110-101
3, Oct 26, UTA (3-0) beat DEN, 122-110
4, Oct 28 @ HOU, UTA (4-0) beat HOU, 122-91
5, Oct 30 @ CHI, UTA (4-1) lost to CHI, 99-107
6, Oct 31 @ MIL, UTA (5-1) beat MIL, 107-95
7, Nov 2, UTA (6-1) beat SAC, 119-113
8, Nov 4 @ ATL, UTA (7-1) beat ATL, 116-98
9, Nov 6 @ MIA, UTA (7-2) lost to MIA, 115-118
10, Nov 7 @ ORL, UTA (7-3) lost to ORL, 100-107
11, Nov 9, UTA (8-3) beat ATL, 110-98
12, Nov 11, UTA (8-4) lost to IND, 100-111
13, Nov 13, UTA (8-5) lost to MIA, 105-111
14, Nov 16, UTA (9-5) beat PHI, 120-85
15, Nov 18, UTA (10-5) beat TOR, 119-103
16, Nov 20 @ SAC, UTA (11-5) beat SAC, 123-105
17, Nov 22, UTA (11-6) lost to MEM, 118-119
18, Nov 24 @ OKC, UTA (12-6) beat OKC, 110-104
19, Nov 26, UTA (12-7) lost to NOP, 97-98
20, Nov 27, UTA (13-7) beat NOP, 127-105
21, Nov 29, UTA (14-7) beat POR, 129-107
22, Dec 3, UTA (15-7) beat BOS, 137-130
23, Dec 5 @ CLE, UTA (16-7) beat CLE, 109-108
24, Dec 8 @ MIN, UTA (17-7) beat MIN, 136-104
25, Dec 9 @ PHI, UTA (18-7) beat PHI, 118-96
